Compound	KEGG_ID
Carlina oxide	C08399
Glucocapparin	C08404
Glucoerysolin	C08410
Glucolepidiin	C08413
Glucoraphanin	C08419
Glucoraphenin	C08420
Phaseolotoxin	C08440
Ichthyotherol	C08452
Thiarubrine A	C08461
Thiarubrine B	C08462
Acremoauxin A	C08468
Bullatacinone	C08470
Cucurbic acid	C08482
Ethyl tiglate	C08487
Jasmonic acid	C08491
Lycomarasmine	C08496
(E)-2-Hexenal	C08497
Leaf aldehyde	C08497
Purpureacin-1	C08505
Haemanthamine	C08527
Kalbreclasine	C08529
(-)-Narwedine	C08534
Celosianin II	C08542
Humilixanthin	C08548
Indicaxanthin	C08549
Miraxanthin-I	C08554
Miraxanthin-V	C08557
Musca-aurin-I	C08559
Muscaaurin II	C08560
Muscapurpurin	C08563
Abyssinone VI	C08573
Canthaxanthin	C08583
Chrysanthemin	C08604
beta-Amyrenol	C08616
Dipterocarpol	C08622
Gentiodelphin	C08641
Bikhaconitine	C08664
Lappaconitine	C08694
Lindheimerine	C08695
Thalicsessine	C08714
Riccionidin A	C08728
Soularubinone	C08784
Isofucosterol	C08821
Makisterone B	C08829
Podecdysone B	C08832
Pollinastanol	C08833
Ponasterone A	C08835
Withanolide D	C08842
Bryophyllin A	C08852
Convallatoxin	C08858
Helveticoside	C08869
Labriformidin	C08870
Lanceotoxin A	C08872
Lanceotoxin B	C08873
Avenacoside A	C08887
Avenacoside B	C08888
Capsicoside A	C08889
Arvensoside A	C08923
Camellidin II	C08934
Colubrinoside	C08937
alpha-Hederin	C08954
Silphioside F	C08964
Quillaic acid	C08972
Soyasaponin I	C08983
Thalicoside A	C08985
Tubeimoside I	C08987
Yiamoloside B	C08990
Aurasperone D	C08995
Quinquangulin	C09044
Asebotoxin II	C09063
Atractyloside	C09064
Candletoxin A	C09068
C-Calebassine	C09085
Canthin-6-one	C09098
Carapanaubine	C09106
Catharanthine	C09107
Archangelicin	C09116
Nagilactone C	C09138
Byakangelicin	C09141
Pleuromutilin	C09169
Podolactone B	C09172
Ponalactone A	C09174
Resiniferonol	C09178
Fruticosonine	C09191
Triptodiolide	C09202
Mitraphylline	C09227
Psychotridine	C09233
Quebrachamine	C09235
Roxburghine B	C09237
Usambarensine	C09249
Tabernanthine	C09274
Oxypeucedanin	C09282
Alantolactone	C09289
Umbelliferone	C09315
Actinodaphine	C09322
Adiantifoline	C09323
(-)-Annonaine	C09339
Bakkenolide A	C09350
(+)-Bebeerine	C09352
Chromolaenide	C09361
(-)-Caaverine	C09368
Confertifolin	C09376
Cepharanthine	C09391
Eremantholide	C09407
Erythratidine	C09424
Eupachloroxin	C09425
Eupatocunoxin	C09439
Goyazensolide	C09467
Michelenolide	C09506
Molephantinin	C09513
Multiradiatin	C09515
beta-Santonin	C09545
Jatrorrhizine	C09553
(R)-Laudanine	C09555
Tetraneurin A	C09559
Tetraneurin E	C09560
Ambrosanolide	C09560
Longifolonine	C09569
Ursiniolide A	C09572
(-)-Pellotine	C09604
Phaeantharine	C09608
beta-Cadinene	C09625
Caryophyllene	C09629
alpha-Cedrene	C09630
alpha-Copaene	C09639
(-)-Salsoline	C09640
beta-Cubebene	C09648
Cycloeudesmol	C09651
beta-Eudesmol	C09664
Norcoralydine	C09671
Lactaroviolin	C09696
Marasmic acid	C09701
Rhipocephalin	C09714
beta-Santalol	C09720
beta-Selinene	C09723
beta-Sinensal	C09730
beta-Vetivone	C09745
Muconomycin A	C09746
Kolaflavanone	C09761
Didrovaltrate	C09776
(+)-Iridodial	C09785
Iridomyrmecin	C09786
Isoplumericin	C09787
Neoeriocitrin	C09805
Neohesperidin	C09806
Carvone oxide	C09841
Carolinianine	C09856
Oxolucidine B	C09891
Serratanine B	C09891
Rotundifolone	C09896
Serratanidine	C09899
Spirolucidine	C09903
Goniothalenol	C09930
Gentioflavine	C09962
Purpurogallin	C09964
Robustadial A	C09966
Hymenocardine	C10004
Integerrenine	C10005
Nummularine F	C10011
Amentoflavone	C10018
Chlorflavonin	C10027
Calophyllin B	C10054
Hinokiflavone	C10057
Gambogic acid	C10062
Gentiacaulein	C10064
Norswertianin	C10088
Pinoquercetin	C10120
Quercetagetin	C10122
Spherocarpine	C10125
(-)-Anatabine	C10126
Astrophylline	C10131
Cryptophorine	C10139
(-)-Hygroline	C10152
Lentiginosine	C10155
Methylconiine	C10159
Sciadopitysin	C10182
Cinchonain 1a	C10217
Gallagic acid	C10242
Canaliculatol	C10249
Pterostilbene	C10287
Cascaroside A	C10307
Cyperaquinone	C10322
Deoxylapachol	C10325
Integerrimine	C10328
Macrophylline	C10348
Monocrotaline	C10350
Platyphylline	C10363
Senampeline A	C10388
Senecivernine	C10393
Tricrozarin A	C10406
Triangularine	C10410
Chicoric acid	C10437
Cinnamic acid	C10438
Methyleugenol	C10454
Forsythiaside	C10456
Homoferreirin	C10457
Gingerenone A	C10460
Orobanchoside	C10481
Sphagnum acid	C10496
(-)-Maackiain	C10502
Pachyrrhizone	C10512
Trifolirhizin	C10538
Wedelolactone	C10541
Acanthoside D	C10543
Casimiroedine	C10577
Cephalotaxine	C10580
Codonocarpine	C10582
Elaeokanine C	C10592
Harringtonine	C10597
Ibotenic acid	C10600
Phyllospadine	C10609
Pithecolobine	C10611
Pleurostyline	C10612
Atalaphylline	C10645
Lariciresinol	C10646
Deoxypeganine	C10656
Evoxanthidine	C10668
Haplodimerine	C10691
Isodictamnine	C10697
Neoisostegane	C10707
Phrymarolin I	C10737
Swietenidin B	C10741
Tryptanthrine	C10742
Angustifoline	C10751
(+)-Aphylline	C10752
Caulophylline	C10760
Ascosalitoxin	C10766
Leontiformine	C10771
(-)-Sparteine	C10783
Ginkgoic acid	C10794
Cyclobuxine D	C10797
Leiocarposide	C10805
Paravallarine	C10814
alpha-Solanin	C10820
Solanocapsine	C10821
Syringic acid	C10833
Calystegin A3	C10850
Calystegin B2	C10851
Physoperuvine	C10864
Plicatic acid	C10873
Prostalidin A	C10877
Acanthoside B	C10890
Trachelogenin	C10891
Schizandrin C	C10893
Amidosulfuron	C10933
Chlorbromuron	C11009
Diphenylamine	C11016
Pendimethalin	C11019
Brassicanal A	C11048
Chlornitrofen	C11063
Diethofencarb	C11077
Fenpyroximate	C11098
Methapyrilene	C11114
Oxaminozoline	C11120
Propiconazole	C11121
Sulfentrazone	C11125
Fluoromethane	C11147
Tetrabenazine	C11168
Sulfathiazole	C11169
Sulbenicillin	C11170
Hoechst 33342	C11189
Rhodamine 123	C11190
Epoxiconazole	C11229
Diclobutrazol	C11235
Carminic acid	C11254
Aminotriazole	C11261
5-Azacytidine	C11262
Fluorobenzene	C11272
Dolastatin 10	C11280
NAc-L4Y-amide	C11295
NAc-L3Y-amide	C11296
NAc-LLY-amide	C11297
Solutol HS 15	C11317
Mersalyl acid	C11336
Oxolinic acid	C11342
(-)-Anabasine	C11357
(-)-Anaferine	C11358
Grepafloxacin	C11368
Ubiquinone-10	C11378
Ubidecarenone	C11378
(+)-Car-3-ene	C11382
(3R)-Linalool	C11388
(3S)-Linalool	C11389
9-Phenanthrol	C11430
1-Phenanthrol	C11432
Carfentrazone	C11493
E3040 sulfate	C11594
NAc-L5Y-amide	C11607
Techtochrysin	C11621
Boschnaloside	C11652
Secogalioside	C11674
Levcromakalim	C11697
Tienilic acid	C11702
beta-Naphthol	C11713
Candoxatrilat	C11721
Hexobarbitone	C11723
Decamethonium	C11733
Penillic acid	C11746
Pivampicillin	C11750
Talampicillin	C11751
Cephaloridine	C11754
Levonordefrin	C11768
Heterocodeine	C11779
Minovincinine	C11783
Diprenorphine	C11794
Oxaburimamide	C11802
Isoalangiside	C11815
Kaurenic acid	C11874
Palustradiene	C11881
Levopimarinol	C11883
Levopimarinal	C11886
Abietaldehyde	C11887
Perillic acid	C11924
2-Pinen-10-ol	C11938
Myrtenic acid	C11940
Megalomicin A	C11985
Megalomicin B	C11986
Neomethymycin	C11995
Protylonolide	C12000
Ramoplanin A2	C12008
Telithromycin	C12009
Abbott-195773	C12020
Nanchangmycin	C12047
Everninomycin	C12050
Everninomicin	C12050
Deoxyanisatin	C12076
alpha-Arbutin	C12079
Ansatrienin A	C12098
Validamycin A	C12112
Saphenic acid	C12117
Luteoliflavan	C12122
Gallocatechol	C12127
Phytoceramide	C12145
Bulbispermine	C12164
Zephyranthine	C12170
Haemanthidine	C12174
Normaritidine	C12180
Trispheridine	C12182
Platenolide A	C12202
Platenolide I	C12202
Bacillibactin	C12219
Chelerythrine	C12227
Norsanguinine	C12253
(+)-Plicamine	C12254
Butyl acetate	C12304
Indolin-2-one	C12312
Laudanosoline	C12327
Norreticuline	C12329
Elloramycin A	C12381
Tetrangomycin	C12396
Kerriamycin B	C12413
Rhodomycinone	C12425
dTDP-D-oliose	C12446
Acetyltropine	C12452
Coumermycin D	C12480
Emtricitabine	C12599
Leucomycin A3	C12662
Cyclothiazide	C12685
Difluprednate	C12695
Doxifluridine	C12739
Allylestrenol	C12811
4-Sulfophenol	C12849
Thiamphenicol	C12853
Spiramycin II	C12891
Cyclocytidine	C13112
Calcium oxide	C13140
Roxithromycin	C13173
Diethyl ether	C13240
Transfluthrin	C13410
Trichomycin A	C13450
Trichomycin B	C13451
Cerebrosterol	C13550
4-Ethylphenol	C13637
p-Ethylphenol	C13637
Niflumic acid	C13698
3alpha-OH DHP	C13712
Batrachotoxin	C13750
8-Isoprostane	C13809
Clavulone III	C13813
Batyl alcohol	C13858
Barium cation	C13881
Strontium(2+)	C13884
Strontium ion	C13884
Ruthenium red	C13932
Sennoside A&B	C13940
Sodium iodide	C14042
Leucomycin A1	C14056
Leucomycin A4	C14057
Leucomycin A5	C14058
Leucomycin A6	C14059
Leucomycin A7	C14060
Leucomycin A8	C14061
Leucomycin A9	C14062
Direct red 28	C14078
4-Octylphenol	C14132
p-Octylphenol	C14132
Stylisterol A	C14157
Stylisterol B	C14158
Stylisterol C	C14159
alpha-Eucaine	C14166
Heptachlorane	C14185
"2,2',5,5'-TCB"	C14199
Norethynodrel	C14249
4-Cumylphenol	C14258
p-Cumylphenol	C14258
2-Furaldehyde	C14279
Chlorpyriphos	C14322
2-Ethylphenol	C14385
o-Ethylphenol	C14385
3-Ethylphenol	C14386
Benzylparaben	C14393
3-Nitrophenol	C14418
1-Nitropyrene	C14421
Diflubenzuron	C14427
4-Bromophenol	C14453
5-Diazouracil	C14480
Isoflupredone	C14484
Chloropropham	C14506
Fensulfothion	C14510
Hemimellitene	C14518
Flucythrinate	C14524
4-Nonylphenol	C14550
p-Nonylphenol	C14550
Acetyleugenol	C14567
Chlorobenside	C14584
Triethylamine	C14691
Ethoxyflurane	C14700
Chloroxylenol	C14715
15-Deoxy-PGJ2	C14717
Heptylparaben	C14718
o-Cymen-5y-ol	C14741
Chlordimeform	C14746
Food red No.2	C14760
2-Bromophenol	C14841
o-Bromophenol	C14841
(S)-Carnitine	C15025
Nortangeretin	C15031
alpha-Lindane	C15214
Allobetulinol	C15274
Doisynoestrol	C15453
Norselegiline	C15476
Hydroperoxide	C15498
Acetylacetone	C15499
Mugineic acid	C15500
Steroid ester	C15506
Phenylacetone	C15512
NDP-D-glucose	C15541
3-Androstanol	C15638
Dexamethasone	C15643
L-Sorbosonate	C15673
L-Ketoidonate	C15673
Myxothiazol A	C15674
Myxothiazol Z	C15675
Melithiazol A	C15696
Chivosazole A	C15728
Chivosazole B	C15729
Chivosazole C	C15730
Chivosazole D	C15731
Chivosazole E	C15732
Chivosazole F	C15733
Patellamide A	C15734
Patellamide C	C15735
Patellamide B	C15736
Patellamide D	C15737
Westiellamide	C15739
Antibiotic TA	C15756
Cephabacin F3	C15824
Syringopeptin	C15828
Myxocoxanthin	C15860
Endomorphin-1	C15890
Endomorphin-2	C15891
Chloroxanthin	C15892
Spheroidenone	C15903
Chlorobactene	C15908
Helospectin I	C15916
L-Galactonate	C15930
Neurophysin I	C16077
Urocortin III	C16082
Kisspeptin-14	C16091
Kisspeptin-13	C16092
Kisspeptin-10	C16093
Endokinin A/B	C16099
Somatomedin C	C16131
Somatomedin A	C16132
L-Pyrrolysine	C16138
Nicotine blue	C16152
Linoleoyl-ACP	C16160
Anthraquinone	C16207
(+)-Maackiain	C16229
5beta-Scymnol	C16260
R.g.-Keto III	C16278
Thiothece-474	C16279
Thiobenzamide	C16281
Autoinducer 2	C16421
Aspartic acid	C16433
"1,3-Butadiene"	C16450
3-Epiecdysone	C16496
Icosenoyl-CoA	C16530
Nervonoyl-CoA	C16532
2-Oxopimelate	C16588
2-Oxosuberate	C16589
Atropaldehyde	C16592
"2,4-Diene-VPA"	C16656
Vanillylamine	C16666
9-cis-Retinal	C16681
9-cis-Retinol	C16682
Strictosamide	C16724
Ester sulfate	C16738
Spongouridine	C16745
Citreoviridin	C16766
Sporidesmin J	C16768
Cascaroside B	C16799
Cascaroside D	C16800
Cascaroside C	C16801
Coumatetralyl	C16806
Bioresmethrin	C16810
Homobaldrinal	C16812
Caffeoquinone	C16828
Peroxynitrite	C16845
Ciguatoxin 4B	C16852
Gonyautoxin 1	C16855
Gonyautoxin 2	C16856
Scytophycin C	C16865
Makisterone A	C16874
Callystatin A	C16891
Plakinamine A	C16894
Plakinamine B	C16895
Latrunculin A	C16901
Dolastatin 11	C16905
Atractyloxide	C16919
Bufadienolide	C16921
Byakangelicol	C16925
Cinobufotalin	C16932
Furanodienone	C16960
Gamabufogenin	C16962
Gamabufotalin	C16962
Hellebrigenin	C16969
Isoliquiritin	C16978
Isomangiferin	C16979
Kaempferitrin	C16981
Magnocurarine	C16991
Anthopleurine	C16994
Pachymic acid	C17044
Rheochrysidin	C17045
Resibufogenin	C17058
Valerosidatum	C17068
Terpinen-4-ol	C17073
Tyrian purple	C17084
Cartilagineal	C17102
l-Isomenthone	C17125
beta-Snyderol	C17179
Glucosinolate	C17260
Pyruvophenone	C17268
Glucohirsutin	C17271
Glucobarbarin	C17274
(+)-Valencene	C17277
tRNA cytosine	C17325
Onjisaponin F	C17417
Polygalacin D	C17441
(10)-Gingerol	C17496
Galanolactone	C17498
Cyperotundone	C17501
Palmatoside G	C17507
Thymine dimer	C17509
Capsianside A	C17516
Metoxadiazone	C17532
Gambirtannine	C17533
Akeboside Stf	C17546
Akeboside Std	C17547
Akeboside Ste	C17548
Multinoside A	C17563
Zizybeoside I	C17564
myo-Inosose-5	C17577
Methylarbutin	C17599
Multiflorin B	C17600
Chrysantherol	C17609
Chrysanthemol	C17611
8-Oxogeranial	C17622
Cinncassiol A	C17645
Cinncassiol B	C17648
Iocholic acid	C17649
Cinncassiol E	C17659
Haemulcholate	C17668
Cassiaside B2	C17674
Magnoloside A	C17678
Magnoloside B	C17679
Magnoloside C	C17680
Gentamicin A2	C17701
Gentamicin X2	C17702
Lividomycin A	C17707
Difenpiramide	C17720
Narcobarbital	C17722
Heptabarbital	C17725
"4,5-seco-Dopa"	C17758
Hispiduloside	C17762
Clemaphenol A	C17808
gamma-Asarone	C17821
(+)-Aschantin	C17845
Corynantheine	C17872
Isosinomenine	C17899
Scopoloside I	C17921
Cysteinyldopa	C17935
Rhizocticin B	C17940
Rhizocticin A	C17944
Albaflavenone	C17954
Irisflorentin	C17958
Rhizocticin C	C17960
Rhizocticin D	C17961
Pilocarpidine	C17964
Fortimicin AO	C17972
Fortimicin AP	C17975
Fortimicin KH	C17976
Fortimicin KR	C17977
Istamycin KL1	C17983
Nebramycin 5'	C18001
Lividomycin B	C18003
Momilactone A	C18015
Leachianone G	C18024
Mentholactone	C18027
Isoscopoletin	C18079
Deltorphin II	C18095
Deoxyshikonin	C18133
Esfenvalerate	C18147
Polyplatillen	C18159
Enterolactone	C18165
Oxyntomodulin	C18197
Jamaicamide A	C18212
Jamaicamide B	C18213
Jamaicamide C	C18214
Stemar-13-ene	C18223
Cytochrome cL	C18233
10-Oxocamphor	C18352
(S)-Hemiketal	C18356
(R)-Hemiketal	C18357
Sodium iodate	C18366
Cycloprothrin	C18409
Fenpropathrin	C18411
Teflubenzuron	C18437
Flazasulfuron	C18441
Imazosulfuron	C18443
Methyl iodide	C18448
Cyproconazole	C18456
Fenbuconazole	C18461
Paclobutrazol	C18479
Tetraconazole	C18490
Uniconazole P	C18494
Flubendiamide	C18520
Mandipropamid	C18522
Metaflumizone	C18523
Benzobicyclon	C18536
Dimethametryn	C18537
Spirodiclofen	C18553
(Z)-Ferimzone	C18579
Sodium oleate	C18601
Phenylglycine	C18623
Lead arsenate	C18648
Monocrotophos	C18663
Methamidophos	C18667
Methylmercury	C18672
Tebupirimphos	C18692
Bromuconazole	C18704
Cuprous oxide	C18714
Diafenthiuron	C18781
Fenpropimorph	C18787
Spirotetramat	C18807
Triticonazole	C18815
Chlorotoluron	C18817
Dichlofluanid	C18820
Ethalfluralin	C18827
Mycinamicin I	C18845
Mycinamicin V	C18847
Chalcolactone	C18848
Primisulfuron	C18883
Propaquizafop	C18886
Fluotrimazole	C18939
Chlorbicyclen	C18959
Chlorthiophos	C18970
Dioxabenzofos	C18981
Oxydisulfoton	C19009
Chlorfenethol	C19023
Benzthiazuron	C19058
Phenobenzuron	C19090
Methoprotryne	C19104
Triapenthenol	C19135
Butopyronoxyl	C19142
Chromium (VI)	C19161
Phosphorus-32	C19162
Chlorozotocin	C19170
Vinyl bromide	C19184
Benzyl violet	C19198
Nifurthiazole	C19240
4-Nitropyrene	C19276
Oil Orange SS	C19287
Propiolactone	C19297
Thioacetamide	C19302
Vinyl acetate	C19309
Arsenobetaine	C19331
Ethyl bromide	C19354
C.I. Orange G	C19372
Ethyl selenac	C19421
HC Blue No. 2	C19429
Iron sorbitex	C19437
Malonaldehyde	C19440
Musk ambrette	C19461
2-Nitropyrene	C19476
Polypropylene	C19505
Prednimustine	C19512
Vinyl toluene	C19549
Furylfuramide	C19558
Manganese(2+)	C19610
Manganese(3+)	C19611
5alpha-Gonane	C19638
18-Norestrane	C19639
Acanthasterol	C19657
L-Prolinamide	C19781
Racemomycin A	C19785
Glucovanillin	C19808
Pimelyl-[acp]	C19845
HIV1 protease	C19849
Cyclic ketone	C19862
Dolastatin 15	C19899
Latrunculin B	C19904
Anatoxin a(s)	C19998
Anatoxin-A(S)	C19998
Ciguatoxin 3C	C20001
Ciguatoxin 4A	C20002
Brevetoxin B1	C20013
Brevetoxin B2	C20014
Gonyautoxin 5	C20018
Gonyautoxin V	C20018
Gonyautoxin 6	C20019
Gonyautoxin 8	C20020
Gymnodimine A	C20025
Marinobufagin	C20036
Oenanthotoxin	C20044
Mollicellin C	C20046
Leiurotoxin I	C20058
Ritterazine A	C20061
Stromatoxin 1	C20067
Stromatoxin-1	C20067
Charybdotoxin	C20069
Okinaxobin II	C20089
Omega-Aga-IVA	C20092
Argiopinin II	C20094
Phrixotoxin 1	C20113
Phrixotoxin 2	C20114
Huwentoxin-XI	C20117
Platensimycin	C20132
alpha-Guaiene	C20161
Viridiflorene	C20162
delta-Guaiene	C20174
Sesquithujene	C20178
N7-Methyl-GDP	C20183
Albaspidin BB	C20206
Yakuchinone A	C20211
Yakuchinone-A	C20211
Homocapsaicin	C20215
Cannabielsoin	C20218
Aminoacrylate	C20253
4'-OH-Sudan I	C20281
Chromium (IV)	C20295
Arsenic (III)	C20298
Mycophenolate	C20380
Arenaemycin E	C20407
Norsolorinate	C20452
Versicolorone	C20504
Cyclic di-AMP	C20565
Tungstic acid	C20679
(S)-Laudanine	C20712
Neopikromycin	C20739
Novapikromyin	C20740
Acetylprotein	C20743
(R)-Malyl-CoA	C20747
beta-L-Fucose	C20836
(5')pPur-mRNA	C20863
beta-Tabtoxin	C20917
Trimeric 2-5A	C20936
(R)-Ipsdienol	C20943
Angiotensin A	C20970
Glucoselysine	C20978
Orthophosphate	C00009
Carbon dioxide	C00011
2-Oxoglutarate	C00026
Oxidized donor	C00028
Hydrogen-donor	C00030
Glyoxylic acid	C00048
Cytidylic acid	C00055
Methanoic acid	C00058
Calcium cation	C00076
Sulfurous acid	C00094
2-Oxobutanoate	C00109
Cytochrome c3+	C00125
Cytochrome c2+	C00126
Methyl alcohol	C00132
D-myo-Inositol	C00137
L-myo-Inositol	C00137
Hydroxybenzene	C00146
L-2-Amino acid	C00151
L-Homocysteine	C00155
Propanoic acid	C00163
Propionic acid	C00163
Diacylglycerol	C00165
Phenylpyruvate	C00166
UDPglucuronate	C00167
5-Methyluracil	C00178
Gluconolactone	C00198
Deoxythymidine	C00214
Methylene blue	C00220
beta-D-Glucose	C00221
4-Oxobutanoate	C00232
Chorismic acid	C00251
Nicotinic acid	C00253
Prephenic acid	C00254
Dithiothreitol	C00265
Glycolaldehyde	C00266
Acid carbonate	C00288
Isocitric acid	C00311
Sphing-4-enine	C00319
Deoxyguanosine	C00330
Indolepyruvate	C00331
(Phosphate)n+1	C00404
(Phosphate)n-1	C00404
Pipecolic acid	C00408
(R)-Mevalonate	C00418
Mevalonic acid	C00418
Polynucleotide	C00419
Polysaccharide	C00420
L-Lactaldehyde	C00424
Dihydrouracile	C00429
L-Saccharopine	C00449
Methylcarbinol	C00469
p-Benzoquinone	C00472
Allantoic acid	C00499
L-Cysteic acid	C00506
3-Sulfoalanine	C00506
Palmitaldehyde	C00517
2-Deoxyuridine	C00526
Norepinephrine	C00547
Phenyl acetate	C00548
(+)-Neomenthol	C00553
4-Aminobutanal	C00555
Benzyl alcohol	C00556
Phenylmethanol	C00556
Phenylcarbinol	C00556
Cyclopentanone	C00557
D-Tagaturonate	C00558
Deoxyadenosine	C00559
Mandelonitrile	C00561
Phosphoprotein	C00562
Phosphoramidon	C00563
Trimethylamine	C00565
Kerato sulfate	C00573
Methyl sulfide	C00580
Phosphocholine	C00588
Isobutyryl-CoA	C00630
Xanthylic acid	C00655
scyllo-Inosose	C00691
Hydrocortisone	C00735
Vanillaldehyde	C00755
Vitamin A acid	C00777
L-Gulonic acid	C00800
Monooxalylurea	C00802
Pentanoic acid	C00803
n-Valeric acid	C00803
Propiolic acid	C00804
Salicylic acid	C00805
L-Gularic acid	C00818
16-Hexadecanol	C00823
Mesoxalic acid	C00830
dTDP-D-glucose	C00842
3-Keto-adipate	C00846
Phenol sulfate	C00850
Gibberellin A1	C00859
Uracil in tRNA	C00868
2-Butenoyl-CoA	C00877
"(R,R)-Tartrate"	C00898
11-cis-Retinol	C00899
2-Acetolactate	C00900
2-Oxohexanoate	C00902
Cinnamaldehyde	C00903
Citramalyl-CoA	C00904
D-Fructuronate	C00905
Dihydrothymine	C00906
Gentamicin C1a	C00908
Leukotriene A4	C00909
Ribonucleoside	C00911
alpha-D-Glucan	C00912
Metal chelator	C00917
D-Lactaldehyde	C00937
beta-Estradiol	C00951
Dexfosfoserine	C01005
trans-Farnesol	C01126
Hydroxyproline	C01157
Butyro-betaine	C01181
trans-Caffeate	C01197
5-Formyl-H4MPT	C01274
Toxopyrimidine	C01279
Organic halide	C01322
beta-D-Fructan	C01355
"1,2-Ethanediol"	C01380
Prenyl alcohol	C01390
Methoxybenzene	C01403
G-Strophanthin	C01443
4-Methylphenol	C01468
dl-Hyoscyamine	C01479
L-Xylofuranose	C01510
5beta-Pregnane	C01523
o-Methylphenol	C01542
Pyromucic acid	C01546
EF-2 diphthine	C01573
n-Caproic acid	C01585
Nopalinic acid	C01683
D-Ribonic acid	C01685
Gibberellin A3	C01699
(E)-Oleic acid	C01712
Kynurenic acid	C01717
(+)-Medicarpin	C01729
Mesaconic acid	C01732
Phloretic acid	C01744
Azacyclohexane	C01746
m-Hydroquinone	C01751
Dodecanoyl-CoA	C01832
Xanthoaphin fb	C01863
(-)-Synephrine	C01869
(R)-Synephrine	C01869
1-Acylglycerol	C01885
Arylalkylamine	C01890
(+)-Daunomycin	C01907
Erythromycin A	C01912
L-Homoarginine	C01924
L-Thalassemine	C01961
beta-D-Lactose	C01970
Propenenitrile	C01998
Gibberellin 19	C02034
Gibberellin 20	C02035
Eicosanoyl-CoA	C02041
Arachidoyl-CoA	C02041
dTDP-galactose	C02097
(2S)-Flavanone	C02099
(5')ppPur-mRNA	C02100
(S)-2-Haloacid	C02103
(S)-Mevalonate	C02104
(S)-Reticuline	C02105
(+)-Reticuline	C02105
(S)-Scoulerine	C02106
"(S,S)-Tartrate"	C02107
"1,2-Campholide"	C02108
11-cis-Retinal	C02110
"2,4-Dioxo acid"	C02111
2-Acylglycerol	C02112
2-Methylserine	C02115
2-Nitropropane	C02116
2-Oxophytanate	C02117
"3,5-Dioxo acid"	C02118
3-Acylpyruvate	C02119
3-Oxohexanoate	C02122
3-Propylmalate	C02123
4-Chlorophenol	C02124
p-Chlorophenol	C02124
4-Nitroanilide	C02125
4-Nitroaniline	C02126
p-Nitroaniline	C02126
5'-Phospho-DNA	C02128
5-Oxohexanoate	C02129
Acetyl-maltose	C02130
Acetylagmatine	C02131
Acetylpyruvate	C02132
Acyl phosphate	C02133
Allocryptopine	C02134
Angiotensin II	C02135
Benzoylformate	C02137
Boc-Asn-OPhNO2	C02138
Chlorophyllide	C02139
Corticosterone	C02140
Cycloeucalenol	C02141
D-Ribosyl-base	C02142
D-threo-Aldose	C02143
"(2S,3R)-Aldose"	C02143
Dehydropeptide	C02144
Dialkyl ketone	C02146
Dihydrolipoate	C02147
Formylpyruvate	C02150
Geissoschizine	C02151
Glucotropeolin	C02153
Glyceraldehyde	C02154
Glycyl-leucine	C02155
Hydroxysteroid	C02159
Isomaltotriose	C02160
Isophenoxazine	C02161
Isopimpinellin	C02162
L-Arginyl-tRNA	C02163
Leukotriene B4	C02165
Leukotriene C4	C02166
Maleylpyruvate	C02167
Mefenamic acid	C02168
Methylmalonate	C02170
Mononucleotide	C02171
N-Acetylisatin	C02172
1-Acetylisatin	C02172
N-Acylmuramate	C02173
Oligophosphate	C02174
Peptidyl amide	C02179
Phenol sulfate	C02180
Phenoxyacetate	C02181
Phloroglucinol	C02183
Plastoquinol-1	C02185
Prolyl-peptide	C02186
Protein lysine	C02188
Protein serine	C02189
Protoporphyrin	C02191
Pyruvate oxime	C02193
Steryl sulfate	C02195
Tertiary amine	C02196
Thromboxane A2	C02198
UDP-L-rhamnose	C02199
Veratraldehyde	C02201
Z-Phe-Phe-CHN2	C02202
Z-Tyr-Leu-NHOH	C02203
alpha-D-Lyxose	C02204
alpha-D-Xylose	C02205
alpha-Santonin	C02206
beta-Alanopine	C02207
beta-D-Mannose	C02209
beta-Endorphin	C02210
tRNA precursor	C02211
Dehydroalanine	C02218
Proangiotensin	C02246
Dodecylalcohol	C02277
Lauryl alcohol	C02277
Tartronic acid	C02287
3-Butenoyl-CoA	C02331
d-Norephedrine	C02343
o-Benzoquinone	C02351
Oxaloacetamide	C02362
Epsilcapramine	C02378
Mercaptopurine	C02380
Styrylcarbinol	C02394
Glutaconyl-CoA	C02411
Diaminobenzene	C02454
Benzenediamine	C02454
alpha-L-Araban	C02474
"1,4-Butynediol"	C02497
2-Phenylphenol	C02499
Perillaldehyde	C02576
Isopentylamine	C02640
Methyl sulfate	C02704
Cyanocobalamin	C02823
Lecanoric acid	C02868
(+)-Ampelopsin	C02906
Isovaleryl-CoA	C02939
GDP-D-rhamnose	C03117
Oxaloglycolate	C03459
Cyclic alcohol	C03491
Gibberellin A8	C03579
(-)-Bornesitol	C03659
(+)-Bornesitol	C03660
Glucuronoxylan	C03866
Androstanolone	C03917
Sarsasapogenin	C03963
Crotonobetaine	C04114
Isocorypalmine	C04118
D-(+)-Octopine	C04137
(6S)-H4PteGlu3	C04144
2-Lysolecithin	C04230
1-Lysolecithin	C04233
3-Lysolecithin	C04233
dTDP-viosamine	C04268
Androstenediol	C04295
5-Methyl-H4MPT	C04488
5-Methyl-THMPT	C04488
Corniculatusin	C04527
"12,13(S)-EOTrE"	C04672
Testololactone	C04676
Coumermycin A1	C05073
Nalidixic acid	C05079
Teleocidin B-1	C05150
Aminoacyl-tRNA	C05156
